operator_id,op_jobKind,op_qualifications_count,op_effectiveTime,op_popularity_score,op_has_CP,op_has_CN,workload_pressure_index,daily_perc_ortho,avg_patient_priority,daily_lifter_ratio,target_assN,target_assO,target_assCP,target_assMAC,target_assignments
210,0,6,402,3,1,0,0.8933442444080743,0.4107142857142857,6.666666666666667,0.05357142857142857,1,2,0,0,3
216,0,6,300,5,1,0,0.8933442444080743,0.4107142857142857,8.2,0.05357142857142857,1,3,0,1,5
224,0,6,432,7,1,0,0.8933442444080743,0.4107142857142857,11.142857142857142,0.05357142857142857,1,2,0,3,7
214,0,6,432,7,0,1,0.8933442444080743,0.4107142857142857,10.428571428571429,0.05357142857142857,1,3,0,2,7
212,0,6,300,5,1,0,0.8933442444080743,0.4107142857142857,8.6,0.05357142857142857,1,3,0,1,5
524,0,5,480,7,0,0,0.8933442444080743,0.4107142857142857,9.428571428571429,0.05357142857142857,1,4,0,2,7
221,0,6,480,7,1,0,0.8933442444080743,0.4107142857142857,8.875,0.05357142857142857,0,7,0,1,8
215,0,6,300,5,0,1,0.8933442444080743,0.4107142857142857,15.0,0.05357142857142857,0,0,0,4,5
32,1,3,140,4,0,1,0.952247191011236,0.4482758620689655,6.666666666666667,0.06896551724137931,1,2,0,0,3
435,0,3,340,8,0,1,0.952247191011236,0.4482758620689655,5.714285714285714,0.06896551724137931,4,3,0,0,7
35,0,3,270,4,0,1,0.952247191011236,0.4482758620689655,4.333333333333333,0.06896551724137931,5,1,0,0,6
232,0,6,432,7,1,0,0.8933442444080743,0.4107142857142857,15.0,0.05357142857142857,0,0,0,8,8
230,0,6,432,7,1,0,0.8933442444080743,0.4107142857142857,10.857142857142858,0.05357142857142857,2,1,0,4,7
228,0,6,432,5,1,0,0.8933442444080743,0.4107142857142857,10.833333333333334,0.05357142857142857,1,2,0,2,6
213,0,6,480,5,1,0,0.8933442444080743,0.4107142857142857,9.666666666666666,0.05357142857142857,1,3,0,2,6
464,1,6,216,4,1,0,0.8933442444080743,0.4107142857142857,6.5,0.05357142857142857,1,3,0,0,4
313,1,6,216,4,1,0,0.8933442444080743,0.4107142857142857,6.0,0.05357142857142857,2,2,0,0,4
225,0,6,402,4,1,0,0.8933442444080743,0.4107142857142857,6.0,0.05357142857142857,2,2,0,0,4
29,1,3,200,3,0,1,0.952247191011236,0.4482758620689655,5.5,0.06896551724137931,2,2,0,0,4
223,0,6,432,8,1,0,0.8933442444080743,0.4107142857142857,15.0,0.05357142857142857,0,0,0,8,8
31,1,3,200,3,0,1,0.952247191011236,0.4482758620689655,6.0,0.06896551724137931,2,2,0,0,4
158,0,2,340,4,0,0,0.952247191011236,0.4482758620689655,5.25,0.06896551724137931,5,3,0,0,8
46,1,3,150,4,1,0,0.952247191011236,0.4482758620689655,5.333333333333333,0.06896551724137931,2,1,0,0,3
485,0,3,340,3,1,0,0.952247191011236,0.4482758620689655,8.428571428571429,0.06896551724137931,3,1,3,0,7
39,1,3,200,3,0,1,0.952247191011236,0.4482758620689655,6.666666666666667,0.06896551724137931,1,2,0,0,3
38,0,4,280,5,0,1,0.952247191011236,0.4482758620689655,6.25,0.06896551724137931,3,5,0,0,8
52,0,2,280,1,0,0,0.952247191011236,0.4482758620689655,8.0,0.06896551724137931,0,1,0,0,1
50,0,3,340,5,0,1,0.952247191011236,0.4482758620689655,5.142857142857143,0.06896551724137931,5,2,0,0,7
48,0,3,330,3,0,1,0.952247191011236,0.4482758620689655,5.6,0.06896551724137931,3,2,0,0,5
40,1,4,150,3,0,1,0.952247191011236,0.4482758620689655,6.0,0.06896551724137931,2,2,0,0,4
52,0,2,280,1,0,0,0.8928571428571429,0.4482758620689655,8.0,0.05172413793103448,0,1,0,0,1
34,0,3,340,3,0,1,0.8928571428571429,0.4482758620689655,6.4,0.05172413793103448,2,3,0,0,5
42,1,2,150,3,0,0,0.8928571428571429,0.4482758620689655,6.666666666666667,0.05172413793103448,1,2,0,0,3
39,1,3,200,2,0,1,0.8928571428571429,0.4482758620689655,5.0,0.05172413793103448,3,1,0,0,4
485,0,2,340,4,0,0,0.8928571428571429,0.4482758620689655,5.142857142857143,0.05172413793103448,5,2,0,0,7
410,1,2,200,2,0,0,0.8928571428571429,0.4482758620689655,5.0,0.05172413793103448,3,1,0,0,4
35,0,3,270,3,0,1,0.8928571428571429,0.4482758620689655,5.0,0.05172413793103448,3,1,0,0,4
158,0,2,340,4,0,0,0.8928571428571429,0.4482758620689655,6.0,0.05172413793103448,3,4,0,0,7
44,0,3,340,2,0,1,0.8928571428571429,0.4482758620689655,6.0,0.05172413793103448,3,3,0,0,6
32,1,4,140,3,1,1,0.8928571428571429,0.4482758620689655,10.75,0.05172413793103448,1,0,3,0,4
50,0,3,340,5,0,1,0.8928571428571429,0.4482758620689655,5.333333333333333,0.05172413793103448,2,1,0,0,3
38,0,4,280,5,0,1,0.8928571428571429,0.4482758620689655,6.0,0.05172413793103448,3,4,0,0,7
40,1,4,150,3,0,1,0.8928571428571429,0.4482758620689655,6.666666666666667,0.05172413793103448,1,2,0,0,3
29,1,3,200,3,0,1,0.8928571428571429,0.4482758620689655,5.5,0.05172413793103448,2,2,0,0,4
464,1,6,216,4,1,0,0.8613782051282052,0.41818181818181815,6.5,0.05454545454545454,1,3,0,0,4
313,1,6,216,1,1,0,0.8613782051282052,0.41818181818181815,8.0,0.05454545454545454,0,2,0,0,2
226,1,5,210,3,0,0,0.8613782051282052,0.41818181818181815,5.333333333333333,0.05454545454545454,2,1,0,0,3
224,0,6,432,7,1,0,0.8613782051282052,0.41818181818181815,11.142857142857142,0.05454545454545454,1,2,0,3,7
213,0,6,432,5,1,0,0.8613782051282052,0.41818181818181815,10.833333333333334,0.05454545454545454,1,2,0,3,6
223,0,6,432,7,1,0,0.8613782051282052,0.41818181818181815,15.0,0.05454545454545454,0,0,0,7,7
221,0,6,432,7,1,0,0.8613782051282052,0.41818181818181815,9.0,0.05454545454545454,0,6,0,1,7
220,0,6,480,6,1,0,0.8613782051282052,0.41818181818181815,13.0,0.05454545454545454,0,2,0,4,7
219,0,6,480,7,1,0,0.8613782051282052,0.41818181818181815,9.857142857142858,0.05454545454545454,2,2,0,3,7
218,0,6,480,5,1,0,0.8613782051282052,0.41818181818181815,7.833333333333333,0.05454545454545454,2,3,0,1,6
210,0,6,402,3,1,0,0.8613782051282052,0.41818181818181815,6.666666666666667,0.05454545454545454,1,2,0,0,3
217,0,7,300,5,1,0,0.8613782051282052,0.41818181818181815,9.0,0.05454545454545454,0,4,0,1,5
216,0,6,300,3,1,0,0.8613782051282052,0.41818181818181815,6.5,0.05454545454545454,1,3,0,0,4
215,0,6,300,5,0,1,0.8613782051282052,0.41818181818181815,15.0,0.05454545454545454,0,0,0,4,5
212,0,6,300,6,1,0,0.8613782051282052,0.41818181818181815,8.5,0.05454545454545454,1,4,0,1,6
211,0,6,300,6,0,1,0.8613782051282052,0.41818181818181815,15.0,0.05454545454545454,0,0,0,6,6
524,0,5,432,6,0,0,0.8613782051282052,0.41818181818181815,9.666666666666666,0.05454545454545454,1,3,0,1,6
227,0,6,432,5,1,0,0.8613782051282052,0.41818181818181815,6.333333333333333,0.05454545454545454,2,4,0,0,6
31,1,3,200,3,0,1,0.8928571428571429,0.4482758620689655,5.333333333333333,0.05172413793103448,2,1,0,0,3
228,0,6,480,5,1,0,0.8613782051282052,0.41818181818181815,10.0,0.05454545454545454,1,2,0,2,5
46,1,3,150,4,1,0,0.8928571428571429,0.4482758620689655,5.333333333333333,0.05172413793103448,2,1,0,0,3
43,0,4,280,0,0,1,0.8928571428571429,0.4482758620689655,5.333333333333333,0.05172413793103448,2,1,0,0,3
232,0,6,432,5,1,0,0.8613782051282052,0.41818181818181815,11.375,0.05454545454545454,2,1,0,5,8
43,0,4,280,2,0,1,0.9390243902439024,0.4915254237288136,6.666666666666667,0.03389830508474576,1,2,0,0,3
44,0,4,340,3,1,1,0.9390243902439024,0.4915254237288136,7.5,0.03389830508474576,2,3,1,0,6
435,0,3,340,5,0,1,0.9390243902439024,0.4915254237288136,5.142857142857143,0.03389830508474576,5,2,0,0,7
31,1,3,200,3,0,1,0.9390243902439024,0.4915254237288136,5.333333333333333,0.03389830508474576,2,1,0,0,3
34,1,3,180,3,0,1,0.9390243902439024,0.4915254237288136,6.666666666666667,0.03389830508474576,1,2,0,0,3
35,0,3,270,3,0,1,0.9390243902439024,0.4915254237288136,5.6,0.03389830508474576,3,2,0,0,5
410,1,2,200,3,0,0,0.9390243902439024,0.4915254237288136,6.0,0.03389830508474576,2,2,0,0,4
